date,item_name,category,quantity_sold,unit_price,stock_left,revenue,month
2025-01-01,Anklet,Gold Jewelry,9,4004291.0,91,36038619.0,1
2025-01-02,Bracelet,Gold Jewelry,5,4516467.0,95,22582335.0,1
2025-01-03,Bangle,Gold Jewelry,12,2481808.0,88,29781696.0,1
2025-01-04,Gold Bar,Gold Jewelry,6,3641278.0,94,21847668.0,1
2025-01-05,Anklet,Gold Jewelry,8,4872574.0,83,38980592.0,1
2025-01-06,Charm,Gold Jewelry,0,4690995.0,100,0.0,1
2025-01-07,Necklace,Gold Jewelry,10,4730679.0,90,47306790.0,1
2025-01-08,Anklet,Gold Jewelry,6,4336121.0,77,26016726.0,1
2025-01-09,Bangle,Gold Jewelry,7,3175682.0,81,22229774.0,1
2025-01-10,Gold Bar,Gold Jewelry,11,4893439.0,83,53827829.0,1
2025-01-11,Bracelet,Gold Jewelry,13,4569987.0,82,59409831.0,1
2025-01-12,Bangle,Gold Jewelry,2,4403138.0,79,8806276.0,1
2025-01-13,Bangle,Gold Jewelry,3,4050940.0,76,12152820.0,1
2025-01-14,Necklace,Gold Jewelry,9,4105909.0,81,36953181.0,1
2025-01-15,Pendant,Gold Jewelry,5,3345084.0,95,16725420.0,1
2025-01-16,Gold Bar,Gold Jewelry,9,2351067.0,74,21159603.0,1
2025-01-17,Earring,Gold Jewelry,0,2299464.0,100,0.0,1
2025-01-18,Bangle,Gold Jewelry,12,2553596.0,64,30643152.0,1
2025-01-19,Pendant,Gold Jewelry,13,4682829.0,82,60876777.0,1
2025-01-20,Earring,Gold Jewelry,3,4595558.0,97,13786674.0,1
2025-01-21,Gold Bar,Gold Jewelry,7,2128581.0,67,14900067.0,1
2025-01-22,Ring,Gold Jewelry,4,3187003.0,96,12748012.0,1
2025-01-23,Charm,Gold Jewelry,0,3094349.0,100,0.0,1
2025-01-24,Pendant,Gold Jewelry,0,3481039.0,82,0.0,1
2025-01-25,Brooch,Gold Jewelry,2,2350540.0,98,4701080.0,1
2025-01-26,Ring,Gold Jewelry,8,2514090.0,88,20112720.0,1
2025-01-27,Charm,Gold Jewelry,7,3431412.0,93,24019884.0,1
2025-01-28,Necklace,Gold Jewelry,0,3643869.0,81,0.0,1
2025-01-29,Anklet,Gold Jewelry,10,2886328.0,67,28863280.0,1
2025-01-30,Bracelet,Gold Jewelry,5,2629675.0,77,13148375.0,1
2025-01-31,Brooch,Gold Jewelry,0,3185694.0,98,0.0,1
2025-02-01,Necklace,Gold Jewelry,6,3373597.0,75,20241582.0,2
2025-02-02,Gold Bar,Gold Jewelry,3,2864923.0,64,8594769.0,2
2025-02-03,Necklace,Gold Jewelry,12,3310815.0,63,39729780.0,2
2025-02-04,Anklet,Gold Jewelry,0,3910291.0,67,0.0,2
2025-02-05,Gold Bar,Gold Jewelry,11,4593008.0,53,50523088.0,2
2025-02-06,Brooch,Gold Jewelry,1,4394219.0,97,4394219.0,2
2025-02-07,Anklet,Gold Jewelry,0,3376811.0,67,0.0,2
2025-02-08,Earring,Gold Jewelry,4,3654125.0,93,14616500.0,2
2025-02-09,Bracelet,Gold Jewelry,11,2335980.0,66,25695780.0,2
2025-02-10,Brooch,Gold Jewelry,10,4453379.0,87,44533790.0,2
2025-02-11,Earring,Gold Jewelry,4,3654312.0,89,14617248.0,2
2025-02-12,Charm,Gold Jewelry,7,3310467.0,86,23173269.0,2
2025-02-13,Brooch,Gold Jewelry,5,2185574.0,82,10927870.0,2
2025-02-14,Charm,Gold Jewelry,7,4592466.0,79,32147262.0,2
2025-02-15,Gold Bar,Gold Jewelry,1,4061596.0,52,4061596.0,2
2025-02-16,Earring,Gold Jewelry,0,2311816.0,89,0.0,2
2025-02-17,Bracelet,Gold Jewelry,5,2814145.0,61,14070725.0,2
2025-02-18,Anklet,Gold Jewelry,11,3041481.0,56,33456291.0,2
2025-02-19,Bangle,Gold Jewelry,12,2087007.0,52,25044084.0,2
2025-02-20,Necklace,Gold Jewelry,9,3130710.0,54,28176390.0,2
2025-02-21,Ring,Gold Jewelry,2,4255824.0,86,8511648.0,2
2025-02-22,Bracelet,Gold Jewelry,0,4364377.0,61,0.0,2
2025-02-23,Earring,Gold Jewelry,5,2219569.0,84,11097845.0,2
2025-02-24,Bangle,Gold Jewelry,1,4938756.0,51,4938756.0,2
2025-02-25,Bracelet,Gold Jewelry,6,2834064.0,55,17004384.0,2
2025-02-26,Earring,Gold Jewelry,11,3881207.0,73,42693277.0,2
2025-02-27,Pendant,Gold Jewelry,1,3637973.0,81,3637973.0,2
2025-02-28,Pendant,Gold Jewelry,5,3740952.0,76,18704760.0,2
2025-03-01,Charm,Gold Jewelry,0,3511071.0,79,0.0,3
2025-03-02,Bracelet,Gold Jewelry,2,4623165.0,53,9246330.0,3
2025-03-03,Pendant,Gold Jewelry,1,4421677.0,75,4421677.0,3
2025-03-04,Earring,Gold Jewelry,6,2768954.0,67,16613724.0,3
2025-03-05,Charm,Gold Jewelry,13,4939556.0,66,64214228.0,3
2025-03-06,Earring,Gold Jewelry,3,2739173.0,64,8217519.0,3
2025-03-07,Charm,Gold Jewelry,0,4885380.0,66,0.0,3
2025-03-08,Bracelet,Gold Jewelry,5,3772957.0,48,18864785.0,3
2025-03-09,Bangle,Gold Jewelry,11,2349775.0,40,25847525.0,3
2025-03-10,Anklet,Gold Jewelry,9,2713447.0,47,24421023.0,3
2025-03-11,Brooch,Gold Jewelry,3,3095904.0,79,9287712.0,3
2025-03-12,Bangle,Gold Jewelry,4,3014114.0,36,12056456.0,3
2025-03-13,Gold Bar,Gold Jewelry,12,4004291.0,40,48051492.0,3
2025-03-14,Earring,Gold Jewelry,12,4649987.0,52,55799844.0,3
2025-03-15,Gold Bar,Gold Jewelry,14,4790413.0,26,67065782.0,3
2025-03-16,Bangle,Gold Jewelry,14,4088259.0,22,57235626.0,3
2025-03-17,Charm,Gold Jewelry,8,2839125.0,58,22713000.0,3
2025-03-18,Brooch,Gold Jewelry,6,4573232.0,73,27439392.0,3
2025-03-19,Brooch,Gold Jewelry,9,3500599.0,64,31505391.0,3
2025-03-20,Ring,Gold Jewelry,13,4417907.0,73,57432791.0,3
2025-03-21,Brooch,Gold Jewelry,13,4835803.0,51,62865439.0,3
2025-03-22,Anklet,Gold Jewelry,8,4018030.0,39,32144240.0,3
2025-03-23,Brooch,Gold Jewelry,6,2378884.0,45,14273304.0,3
2025-03-24,Bangle,Gold Jewelry,11,4870915.0,11,53580065.0,3
2025-03-25,Ring,Gold Jewelry,0,3879253.0,73,0.0,3
2025-03-26,Bangle,Gold Jewelry,11,4980827.0,100,54789097.0,3
2025-03-27,Bangle,Gold Jewelry,7,4405662.0,93,30839634.0,3
2025-03-28,Necklace,Gold Jewelry,3,2730605.0,51,8191815.0,3
2025-03-29,Ring,Gold Jewelry,2,3530016.0,71,7060032.0,3
2025-03-30,Bangle,Gold Jewelry,13,2959113.0,80,38468469.0,3
2025-03-31,Necklace,Gold Jewelry,12,4737294.0,39,56847528.0,3
2025-04-01,Necklace,Gold Jewelry,0,4256549.0,39,0.0,4
2025-04-02,Ring,Gold Jewelry,11,4391204.0,60,48303244.0,4
2025-04-03,Gold Bar,Gold Jewelry,2,2432721.0,24,4865442.0,4
2025-04-04,Charm,Gold Jewelry,7,2469832.0,51,17288824.0,4
2025-04-05,Anklet,Gold Jewelry,5,2339575.0,34,11697875.0,4
2025-04-06,Charm,Gold Jewelry,0,3507200.0,51,0.0,4
2025-04-07,Brooch,Gold Jewelry,3,2077336.0,42,6232008.0,4
2025-04-08,Anklet,Gold Jewelry,7,4004291.0,27,28030037.0,4
2025-04-09,Brooch,Gold Jewelry,7,3691425.0,35,25839975.0,4
2025-04-10,Bangle,Gold Jewelry,11,4657122.0,69,51228342.0,4
2025-04-11,Earring,Gold Jewelry,0,3936963.0,52,0.0,4
2025-04-12,Ring,Gold Jewelry,8,3160316.0,52,25282528.0,4
2025-04-13,Anklet,Gold Jewelry,13,4823605.0,14,62706865.0,4
2025-04-14,Anklet,Gold Jewelry,4,3499447.0,10,13997788.0,4
2025-04-15,Bangle,Gold Jewelry,3,3671471.0,66,11014413.0,4
2025-04-16,Gold Bar,Gold Jewelry,5,4330848.0,19,21654240.0,4
2025-04-17,Necklace,Gold Jewelry,5,4465166.0,34,22325830.0,4
2025-04-18,Bangle,Gold Jewelry,1,3551839.0,65,3551839.0,4
