date,item_name,category,quantity_sold,unit_price,stock_left
2025-01-01,Anklet,Gold Jewelry,9,999999999.0,91
2025-01-02,Bracelet,Gold Jewelry,5,4516467.0,95
2025-01-03,Bangle,Gold Jewelry,12,2481808.0,88
2025-01-04,Gold Bar,Gold Jewelry,6,3641278.0,94
2025-01-05,Anklet,Gold Jewelry,8,4872574.0,83
2025-01-06,Charm,Gold Jewelry,0,4690995.0,100
2025-01-07,Necklace,Gold Jewelry,10,4730679.0,90
2025-01-08,Anklet,Gold Jewelry,6,4336121.0,77
2025-01-09,Bangle,Gold Jewelry,7,3175682.0,81
2025-01-10,Gold Bar,Gold Jewelry,11,4893439.0,83
2025-01-11,Bracelet,Gold Jewelry,13,4569987.0,82
2025-01-12,Bangle,Gold Jewelry,2,4403138.0,79
2025-01-13,Bangle,Gold Jewelry,3,4050940.0,76
2025-01-14,Necklace,Gold Jewelry,9,4105909.0,81
2025-01-15,Pendant,Gold Jewelry,5,3345084.0,95
2025-01-16,Gold Bar,Gold Jewelry,9,2351067.0,74
2025-01-17,Earring,Gold Jewelry,0,2299464.0,100
2025-01-18,Bangle,Gold Jewelry,12,2553596.0,64
2025-01-19,Pendant,Gold Jewelry,13,4682829.0,82
2025-01-20,Earring,Gold Jewelry,3,4595558.0,97
2025-01-21,Gold Bar,Gold Jewelry,7,2128581.0,67
2025-01-22,Ring,Gold Jewelry,4,3187003.0,96
2025-01-23,Charm,Gold Jewelry,0,3094349.0,100
2025-01-24,Pendant,Gold Jewelry,0,3481039.0,82
2025-01-25,Brooch,Gold Jewelry,2,2350540.0,98
2025-01-26,Ring,Gold Jewelry,8,2514090.0,88
2025-01-27,Charm,Gold Jewelry,7,3431412.0,93
2025-01-28,Necklace,Gold Jewelry,0,3643869.0,81
2025-01-29,Anklet,Gold Jewelry,10,2886328.0,67
2025-01-30,Bracelet,Gold Jewelry,5,2629675.0,77
2025-01-31,Brooch,Gold Jewelry,0,3185694.0,98
2025-02-01,Necklace,Gold Jewelry,6,3373597.0,75
2025-02-02,Gold Bar,Gold Jewelry,3,2864923.0,64
2025-02-03,Necklace,Gold Jewelry,12,3310815.0,63
2025-02-04,Anklet,Gold Jewelry,0,3910291.0,67
2025-02-05,Gold Bar,Gold Jewelry,11,4593008.0,53
2025-02-06,Brooch,Gold Jewelry,1,4394219.0,97
2025-02-07,Anklet,Gold Jewelry,0,3376811.0,67
2025-02-08,Earring,Gold Jewelry,4,3654125.0,93
2025-02-09,Bracelet,Gold Jewelry,11,2335980.0,66
2025-02-10,Brooch,Gold Jewelry,10,4453379.0,87
2025-02-11,Earring,Gold Jewelry,4,3654312.0,89
2025-02-12,Charm,Gold Jewelry,7,3310467.0,86
2025-02-13,Brooch,Gold Jewelry,5,2185574.0,82
